title,url,hint,hint_reasons,tags,description,keep,notes
Dujanah,https://jackspinoza.itch.io/dujanah,?,,,"my granddad came home from the war a changed man. he was bitter, quick to anger and aggressive. he'd grown to hate animals too. should a dog yap, he'd rush to kick it. how does one discuss such a person without being exploitative? perhaps we frame him as a product of external forces, a war perhaps, in effect making him blameless. I like to remember him with the aphorism, ""you can't kick every barking dog."" Dujanah is a nice game by Jack King-Spooner. Features: Full colour Interactive menu Bosses",,
Dungeon Arena,https://enoops-games.itch.io/dungeon-arena,?,,,"Dungeon Arena is a retro style arena combat RPG. Choose your class and embark on an unforgettable adventure! Various locations, weapons and enemies will not let you get bored! Take the risk to descend into the dungeon to clear the undead and bandits, or go to the hot desert teeming with enemies. Decide on your class, whether that ancient sorcerer or a proud knight armed with a sword and shield. And start preparing for battle!",,
Dungeon Fall,https://knightwatch.itch.io/dungeon-fall,?,,,Dungeon Fall is an interactive fairy tale that lets the player go along with a simple farmer who has a special purpose.  Collect items that tell a rich history and follow along as the farmer discovers his true purpose as a key character in this world's epic tale. This is the first chapter in the Tales for Erda saga.  It is meant to be played in under ten minutes and gives the player a good foundation for where the next Tales from Erda game starts off.  Dungeon Fall is the perfect introduction to,,
Dungeon Nightmares II - The Memory,https://kmonkey.itch.io/dungeon-nightmares-ii,KEEP,"+horror,psychological,death,nightmare",,http://www.dungeonnightmares.com Dungeon Nightmares II is a first-person psychological horror that takes you through a journey of discovering what nightmares are.The game is inspired by classic roguelike games which include 100% procedural-generated maps and permadeath . Follow Dungeon Nightmares II on Twitter @marysnightmares and @kmonkeyblog CONTROLS W - Walk Forward A - Strafe Left S - Walk Backward D - Strafe Right SHIFT - Sprint LEFT Mouse - Interact Space - Jump C - Use a Candle / Spark a ,,
Dungeons & Lesbians,https://danifinn.itch.io/jagged-shard,MIXED,+violence -romance,,"To the Depths and beyond. Laandaâs led her weary people across endless mountains in search of a new home. Jagged Shard has everything they need: deep mountain tunnels, ready-made infrastructure, and a wealth of hotiron that will secure her clanâs future. It must be theirs. Skitiâs seen her Queen like this before. Obsessed. Desperate. Willing to risk everything for her people. But Jagged Shard was abandoned for a reason. If Skiti canât protect Laanda from herself, she risks losing her for",,
Dungeons of Loot,https://lparkermg.itch.io/dungeons-of-loot,?,,,"Dive into a seemingly harmless dungeon where loot is around every corner. Just mind your step, otherwise you might end up floating in the unknown and losing all your loot. Follow the development in my discord: discord.gg/bQU7EHm Credit for the in-game font goes to Eevee Somepx, support his work https://www.patreon.com/somepx",,
DunkRatz,https://pinkhousegames.itch.io/dunkratz,?,,,"When youâre out of the kitchen, the rats will dunk. DunkRatz is a team-based local multiplayer game for 2-4 players. Each player takes control of a rat on a kitchen floor, with the goal of feeding a ball of cheese to their teamâs giant baby rat to score a point. Unique dashing and grabbing mechanics mean that teams that work together will have the most success feeding their baby. Not only can players grab the cheese and throw it towards their baby, but they can pick up ANYTHING and throw it ",,
Dusk Child,https://sophieh.itch.io/dusk-child,?,,,"Controls: Z - Examine/Pick-up/Drop X - (not used until later in the game) Up - Jump Down - Duck/Crawl Left/Right - Move Story: You have been drawn to a mysterious place, what secrets does it hold, and what will they mean for you? Help: When not carrying an item, you can examine things. If you're stuck, try examining signs and other objects. When you have explored far enough into the western temple, you can use the 'X' button. Credit: Made with (and for) the excellent PICO-8 Extras: If you tip $2",,
Dust Battle Beneath,https://hmmmgames.itch.io/dust-gallery,?,,,"The dust gallery is a collection of 22+ images including concept art, cool pictures and (cheesy) memes. There are also 10+ variant images, which are different versions of some of the ~22 images in the gallery. In total there are 34 images...Oh! And ... heheh ... one-No!-TWO chapters of a type of fanfic or something I wrote based on the world of Dust: Battle Beneath . I put a lot of ~passion~ into every image in the gallery (well, except for historic sprites) so I hope you'll enjoy it. Go and dow",,
Dwerg Saga,https://haikuinteractive.itch.io/dwerg-saga,?,,,"Welcome to Dwerg Saga and a world of deep storytelling. Guide your clan of Dwergs as they establish a new home in the untamed wilderness. Watch as they forge friendships, sing tales of their forefathers, suffer the pangs of unrequited love, take up arms and seek adventure wherever you take them. Inspired by Dwarf Fortress, Dwerg Saga aims to create dramatic and believable stories from the interactions between Dwergs, their environment and what they build. Dwerg Saga is being designed with usabil",,
Dynamite Alex,https://ryan-silberman.itch.io/dynamite-alex,?,,,"Dynamite Alex is an action platform-shooter starring a 17-year old tomboy named Alexandra Tobynskii. After a rather cliched outbreak of robbers invading the city, it's up to her to investigate what's going on! Sans loading screens and unnecessary online play, but donning glorious retro colors and mechanics, Dynamite Alex transports players back to a time where gameplay was king! CONTROLS: Z = Jump X = Shoot Arrows = Move left or right. Tap an arrow key twice to roll! You can also wall jump by ho",,
Dépanneur Nocturne,https://ko-op.itch.io/dep-nocturne,?,,,"10:50 PM. My bichette is waiting at home and Iâm determined to bring her something special. The little dÃ©panneur on this side street may still be open. Itâs my last chance. A SMALL GAME BY G.P. LACKEY Youâre out on a rainy late-night quest for a very particular gift. The only problem is you donât know what it is yet... Finding a corner store thatâs open at this hour must be kismet! With the help of its peculiar proprietor and her unusual inventory, youâre sure to find something wort",,
EAT GIRL,https://tesselode.itch.io/eatgirl,KEEP,"+surreal,unsettling,creature",,EAT GIRL is a surreal top-down action game about moving through tight corridors and eating dots. You'll encounter creatures who may or may not be docile. The atmosphere of the world is sometimes meditative and sometimes unsettling. Each level is accompanied by a unique blend of ambient music. The game contains at least 30 levels. Skilled players can probably finish every level in 4-5 hours.,,
EMUUROM,https://borbware.itch.io/emuurom,KEEP,"+violent,creature",,"EMUUROM is a nonviolent creature-scanning metroidvania. Jump into the virtual homeworld of creatures known as EMUUROM! Explore a dense, interconnected land brimming with surprises around every corner. Document your findings in the EMUUDEX. Encounter unseen EMUUROM, and witness how the tree of life branches out! Study the local wildlife with a data-gathering scanner beam. Use the scanner to transform the world around you and create new pathways! Cooperate with a cavalcade of creatures and make us",,
EPONYMOUS,https://piratehearts.itch.io/eponymous,KEEP,"+eldritch,mystery",,A key without a lock. A solution without a mystery. EPONYMOUS: In Which a Work Is Known by Its Reading is a short-form narrative about unreliable infrastructures from Minor Key Games ( Eldritch ). Challenge your preconceptions Remember why you were Enable a self-fulfilling prophecy But you can never change the past. Collect mobility upgrades to navigate the world!! EPONYMOUS is a short narrative/exploration game. It can be finished in roughly nine or ten minutes. It contains no combat or failure,,
ETHEREAL,https://pixlwalkr.itch.io/ethereal,?,,,"Ethereal is a minimalist, ambient game created in 48hrs for Ludum Dare 34 with the theme ""Two button controls"" and ""Growing"" Controls: Left Mouse Button/Left Arrow Key - Turn Left Right Mouse Button/RIght Arrow Key - Turn Right I think the controls feel nice for mobile devices so I guess I'll add this to my list of games that I might port someday. @PixlWalkr pixlwalkr.com",,
EVADER,https://zerofiftyone.itch.io/evader,KEEP,+death,,"EVADER is an arcade style action game about skilfully avoiding death using a unique dual-control movement system. Survive for as long as you can against endless waves of enemies . Fast and frantic ""die and retry"" gameplay Six unique enemy types Xinput Gamepad + Keyboard support (Gamepad recommended) Online Leaderboards Featured on Kotaku and PC Gamer ! ------------------------------------------------------ Made for Wizard Jam 5 Inspired by Super Hexagon , Geometry Wars , Soft Body , Helix and Th",,
EVERYTHING IS GOING TO BE OK,https://alienmelon.itch.io/everything-is-going-to-be-ok,KEEP,"+dark,abstract",,"""Everything is going to be OK"" is a desktop labyrinth of vignettes, poetry, strange fever dream games, and broken digital spaces. It is a collection of life experiences that are largely a commentary on struggle, survival, and coping with the aftermath of surviving bad things. On the surface it comes off as dark comedy, and humor is a prevalent theme, but as you interact the themes start to unravel and facilitate, what I hope to be, a deeper discussion about these topics. I call it an interactive",,
EXTREME MEATPUNKS FOREVER,https://hthr.itch.io/extreme-meatpunks-forever,KEEP,"+horror,violence,body horror,abuse,loss",,"!!!ALERTA!!! SEASON 2 OF EXTREME MEATPUNKS FOREVER IS NOW AVAILABLE!!! ""Raw, bloody, tough, and not the slightest bit concerned with civility."" -- Rock, Paper, Shotgun ""Wild, melancholy, funny, and willing to take absolutely none of your shit."" -- Wired RANKED 49TH BEST PC GAME OF ""ALL TIME"" -- ROCK, PAPER, SHOTGUN A serial visual novel/mech brawler about four gay disasters beating up neonazis in giant robots made of meat. Get ready for the worst road trip of all time. EPISODE 1 - PILOTS, PT. 1:",,
EXTREME MEATPUNKS FOREVER BOUND BY ASH,https://hthr.itch.io/extreme-meatpunks-forever-2,KEEP,"+horror,violence,body horror,eldritch,glitch",,""" BOUND BY ASH [...] meticulously improves over its predecessor [...] Itâs a warning about all the forms that fascism can take; an investigation of how we can truly care for one another in a society that refuses to care for us; a statement on identity, performativity, and self-conception; an exploration of the power of music in self-expression, resistance, and community care; a dialogue on the meaning of sacrifice; a found family and a found home story; and a grimy, desperate handbook for surv",,
EYES,https://iraprince.itch.io/eyes-on-the-prize,?,,,"In Eyes on the Prize, you are troublemakers. Maybe you don't think you are -- maybe, to you, your most unfortunate and ludicrous circumstances are no fault of your own, and it is only an additional misfortune that you've been driven to such lengths -- but the fact of the matter is that, when all is said and done, you need your situation upended so badly that you've ended up fake-married about it. So it goes! Unfortunately for you, there's nothing more appealing to the rumor-mongers and scandal-h",,
Eat the Eldritch,https://fumbaloaoa.itch.io/eat-the-eldritch,KEEP,"+horror,eldritch,lovecraftian,interactive fiction",,"Eat the Eldritch An interactive cruise to the end of the world You are Jun Do, captain on the fish processing ship Tataki. Your crew is not only new to you, they are also quite strange. And your destination is Point Nemo, the furthest place on earth from any cost... Help for interactive fiction novices When you try to play Interactive Fiction (IF for short) for the first time, it can be frustrating if you don't know how it works. The key is: you write what you want your character to do in the ga",,
Eatvolve,https://papadar.itch.io/eatvolve,REMOVE,-adorable,,"Eatvolve is an evolutionary eat-em-up, elevating a lowly worm to the ultimate hybrid organism by gobbling up other critters - and stealing their unique abilities! Freely explore a colourful world of adorable, edible animals and combine their powers to find new ways to get around, powerful attacks, and more. Be careful, though: only one species can be the pinnacle of evolution, and competition is fierce! many controllers are supported, wasd  / arrow keys   - Movement E                            ",,
Ecchi Sketch Draw Cute Girls Every Day! (All Ages Ver),https://ecchi-sensei.itch.io/anoffice,?,,,"""AnOffice"" is an isometric arcade survival platform in Voxel style that represents the usual working day of an average (and stressed) worker. The game structure is based on a day & night cycle, triggered by a specific game event: when the controlled player is too much stressed. In the day, the player will have to try his best to avoid annoying and pressing coworkers that increase the player stress when they are near enough to him. When the player is max stressed, the game pahse will go into the ",,
Echoes of the Fey Episode 1 The Fox's Trail,https://woodsy-studio.itch.io/echoes-of-the-fey-the-foxs-trail,KEEP,"+death,detective",,"Echoes of the Fey is a series of visual novel detective stories set in the high fantasy world of Oraz starring Sofya Rykov, a Human private investigator with a dangerous secret: following a near-death experience in the war, she spontaneously developed the ability to use magic. She is joined by her Leshin partner, Heremon ir-Caldy, a doctor fascinated by Sofya's magic but fearful it will soon come at the cost of her life. Together, Sofya and Heremon navigate the mysteries and tensions of Vodotsk,",,
Eighth Day Kishimoto-kun,https://cattymations.itch.io/eighth-day-kishimoto-kun,REMOVE,-romance,,"""It's my most beautiful discovery at the end of the year"" - Pierre Crochart, NOWPLAYING There's a secret eighth day of the week... Emotional romance visual novel about life purpose and God. When Haruki Kishimoto, a seventeen year-old highschooler, one day encounters recent American transfer student, Katie, they form a life-changing friendship, all while something much more sinister is taking place in the background... An emotional, 1-2 hour long tale of an unlikely friendship between two teenage",,
Eighth Notch,https://lost-guide.itch.io/eighth-notch,KEEP,+death,,"There is a legend that says a train to those who are desperate for an escape from their old lives, no matter who they are. Businessmen at the top of their game and those lost in the bottles at the bars alike have all gone to the old train yard, and not returned. Eighth Notch is a hack between Fari RPG's Firelights and Breathless SRDs. You are a runaway on the train to nowhere. Though not everything is what it seems.... The other passengers are like you, running from something they deem worth esc",,
Eizoku,https://unseeing-eyes.itch.io/eizoku,KEEP,"+horror,experimental",,Eizoku is a short experimental horror game. Eizoku is currently in beta. Due to personal matters and lack of ideas I am putting work on Eizoku on indefinite hiatus. I may or may not return to it to flesh it out but I hope that many people can still enjoy it in it's current form. I've optimized the game as best as I can but unfortunately games that seem to have older or lower quality graphics cards have framerate issues. Donations are greatly appreciated.,,
El Interrogatorio,https://sara-ruiz.itch.io/el-interrogatorio,?,,,,,
El Tango de la Muerte,https://darsay.itch.io/creo-que-tengo-el-virus,?,,,"Â¡Una nueva crisis vÃ­rica ha aparecido en la ciudad! La histeria colectiva invade toda la ciudad, y las urgencias no paran de saturarse. EstÃ¡s al mando del triaje de las urgencias. Es decir, tÃº decides con quÃ© prioridad atienden a cada paciente. Tus compaÃ±eros del equipo sanitario se encargan del resto. Debido a la situaciÃ³n actual, tendrÃ¡s que separar a los pacientes en distintas salas para evitar la expansiÃ³n del virus. Â¡Atiende a cada paciente correctamente y evita que se desate la l",,
EleMetals Death Metal Death Match,https://wallridegames.itch.io/elemetals,KEEP,"+death,meta,demonic",,"EleMetals: Death Metal Death Match is a chaotic explosion of demonic local-multiplayer mayhem! Summon one of SIX metalheads with elemental powers and SHRED YOUR FRIENDS in this kick-ass Arcade-like Experience! Requires 2-4 Players - Great for remote play with friends through PARSEC ! The HEADBANG button. Chuck metal Shards at each other, and MASH that Headbang button to generate more! PULL YOUR EMERGING SOUL TO SURVIVE! How badass is your button-mashing?? Frantically return your soul to your cor",,
Electrogene,https://elvgames.itch.io/electrogene,REMOVE,-cute,,"Electrogene is a puzzle platformer where you play a cute little guy holding a light bulb! Your mission is to bring back all the Light Bulbs and put them back into place! Light your way and find the platforms to jump while avoiding the obstacles, you must place back all the light bulbs! Electrogene also features a survival more if you want something harder to play, how far can you reach on the survival mode? Follow me on Twitter! This game was developed for the Wasted Resources game jam, after pl",,
Elemental Connection,https://merlandese.itch.io/econ-elemental-connection,MIXED,+abstract -board game,,"Elemental Connection is a minimalist abstract board game about... making elemental connections. Relax, think, and solve the situation as it unfolds. You can play the FREE browser demo here! Play real-ish people on the Discord server! Twelve Tiles Discord Connect colored tiles on the same board as your opponent while using the growing field of vivid squares to gain an advantage. Struggle against six types of computer opponents, each with their own method of outwitting you. Learn the gentle nuance",,
Elephant Hunter Hunter,https://balmut.itch.io/elephant-hunter-hunter,?,,,Elephants are being hunted to extinction by horrible hunters. Play as as a Canadian dog on the International Space Station and do your duty to save the elephants from being hunted using a giant space laser! As you progress in your defence of the kind-natured pachyderms unlock and upgrade five extra tools to help in your mammoth task. You'll need them as hunters never play fair! This is my first release on Itch so please let me know if you encounter any bugs! Controls: Look around with the [Mouse,,
Elephantasy,https://linker.itch.io/elephantasy,?,,,"It's said that somewhere, hidden from all but the most determined explorers, there is a miniature world where one may go to escape the worries of life. After falling from the sky, you've found yourself in that very same miniature world. But now that you're there, can you ever return home again? Snorri, the resident Wizard of the miniature world, has told you of a mysterious Tower in the Sky above his shop. Perhaps if you can collect enough Gems, you can reach the Tower, and with any luck, get ba",,
Elephantasy Flipside,https://linker.itch.io/eleflipside,?,,,"It's said that somewhere, in seas far from the eyes of men, lies a mysterious island linked to the land of the dead. Some tales say that this island is the last place souls see before moving on to the afterlife. But when a certain vacationing Elephant stumbles upon a way between worlds, will she unwittingly let something far more sinister slip through? --------------------------------------------------------------------------------------------- In Elephantasy: Flipside , you play as a tiny Eleph",,
Emberlight,https://quarteronion.itch.io/emberlight,KEEP,"+dark,meta",,"Emberlight is a true roguelite dungeon crawler, set in a world where the Gods have given you a great gift - and a great curse. Explore procedurally generated dungeons as a Knight of the Ember Order. Conquer the quests set out before your party, and uncover the lore of the land. Grow your strength by absorbing the abilities of your slain enemies and collecting the powerful traits of dungeon bosses. Become strong, become quick, become immortal - but be warned - as you fight using unstable Ember po",,
Emmy's Lab Escape,https://natashaluna.itch.io/emmys-lab-escape,KEEP,+adventure game,,"Featured in Indiepocalypse #57 ! It is the year 2X8X. Many things have changed in the world, but one thing hasn't: the predilection of people to gather once a year based on a shared interest. That's what led Emmy, self-proclaimed Queen of Science and regular violator of the laws of physics, to attend the XXth Annual Mad Scientists' Convention. It all seems to be going well...until she ends up trapped in a demonstration lab! And to make it worse—or better?—she's not alone. It wouldn't be a conven",,
Empyrean Frontier,https://galdorstudios.itch.io/empyrean-frontier,?,,,"Empyrean Frontier is a singleplayer RTS featuring massive space fleets, base building, and resource collection along with a procedurally generated campaign where the player takes a persistent fleet of units through a randomly generated galaxy map. Empyrean Frontier is built on a custom game engine by a single developer, and aims to create an innovative strategy game that is still familiar to veterans of the genre. See the latest patch notes here: https://galdorstudios.itch.io/empyrean-frontier/d",,
Enc and the Flying Machine,https://tangledvirus.itch.io/enc-and-the-flying-machine,?,,,"Follow the mushroom Enc on her little quest to help her new found friend Torze in making a flying machine, while they discuss about war and how to grow plants that become engines! Also help her in cheer up her old friend Sinal who out of knowhere got kinda down in the dumps for some reason! Enc and the Flying Machine is a kinect novel that takes about 30 minutes to read through. 31/03/2019 - A update with some fixes for a better experience. A update with a soundtrack will come soon. 09/04/2019 -",,
Enciende la Luz,https://indet3rgames.itch.io/enciende-la-luz,?,,,"Es de noche y llegas a casa, no funciona la luz y alguien te siguiÃ³ en la oscuridad de la noche, te niegas a abrir la puerta pero logra entrar. Este demo es una embarrada en comparacion de lo que sera el juego completo. Como jugar: Mouse click derecho y click izquierdo. Diviertete!",,
Endure The Swarm,https://ternarydesigns.itch.io/endure-the-swarm,?,,,"The world has ended. The Swarm is coming. When it comes you can't run, you can't fight. All you can do is hide. Plan carefully, and take your time. The Swarm only moves when you do. But beware, it will destroy every door, window, and fence standing it its way to get to you. Topple furniture, flip tables, and drag boxes to survive in over 50 devious levels in this new turn based twist on the block pushing genre. A fully voiced narration will put you in the shoes of the last survivor, as story seq",,
Engineer Arena,https://waveparadigm.itch.io/engineer-arena,KEEP,"+death,fps,first-person shooter",,"Join our Discord! Take on your friends and upgrade on the fly in this 1 to 4 player split-screen arena shooter! Engineer Arena is a frantic first-person shooter centered around earning ""bits"" used to buy weapons, grenades, and new abilities at any time, and using those to defeat your friends in classic console-inspired split-screen FPS action. ___ Scientists and engineers are working together to build an advanced combat simulation - in a world where warfare is decided by fights between up to fou",,
Ennuigi A Time For Monsters,https://orebodyinc.itch.io/ennuigi-a-time-for-monsters,KEEP,+monsters,,"Ennuigi is a 2015 freeware browser game created by Josh Millard using the PICO-8 fantasy console.  You can still play it here . This game, Ennuigi: A Time For Monsters, is a freeware reimagining of that project for a different political time and developed for the actual 8-bit NES. You can play the game in browser or download the ROM and play it on your emulator of choice or on original hardware via a flashcart. Although a narrative walking simulator at its heart, Ennuigi: A Time For Monsters is ",,
Ephemeral Tale,https://zserv.itch.io/ephemeral-tale,?,,,"Ephemeral Tale is a classically inspired RPG for the modern age, featuring hand-crafted dungeons, classic JRPG-style combat, and a loot-driven progression system. EXPLORE - Traverse through hand-crafted environments in search of those who hold the power to rewrite fate. As you tackle the game's diverse dungeons, you'll discover clues that will reveal the secrets of this forgotten land. LOOT - Collect powerful, randomized gear and build your own style of play! With over 50 pieces of unique loot, ",,
Epic Battle Fantasy 4,https://kupo-games.itch.io/epic-battle-fantasy-4,REMOVE,"-adorable,casual",,"Epic Battle Fantasy 4 is a light-hearted turn-based RPG, heavily inspired by old classics like Final Fantasy and Golden Sun. Battle through waves of adorable enemies, grow your characters, explore diverse areas, solve puzzles, and of course, save the world. Requires a mouse to play. Windows only. Download includes the Soundtrack. Key features Over 140 different enemies to slaughter, from fluffy animals to gods. Over 170 different items of equipment, and 150 different usable skills, allowing for ",,
Equaboreal 12.21,https://milo-crosby.itch.io/guinea-ecuatorial-equatorial-guinea,?,,,"This is my Spanish project. I had to make a report on a Spanish speaking country, and I choose Equatorial Guinea.",,
Erth,https://ben-m.itch.io/erth,KEEP,"+adventure game,creature",,"Click here for development blog! Erth is a large 2D Sandbox RPG Exploration Top-Down Turn-Based Adventure game where you explore an infinite world socializing, exploring, fighting, mining and building! The game features a fully-fledged crafting and inventory system with over 600 items , along with over 400 crafts ! The world is split into 64x64 areas that you can explore an unlimited number of! There are also tons of enemies, biomes, materials, and more! This is an old, abandoned project, so don",,
Escape from Life Inc,https://powerburger.itch.io/life-inc,KEEP,+dark,,"You didn't have any legs... so we gave you some! Escape from Life Inc is a quirky puzzle platformer with a capturing story. It features three playable animals who have all been captured and put in a mysterious lab. You can switch between them at any time. Throughout your adventure you'll be doing puzzles, platforming, exploring and much more. Together with plenty of wacky characters, help these three unlikely friends escape the alien lab! Play as three animals with unique personalities and abili",,
Escaped Chasm,https://tuyoki.itch.io/escaped-chasm,MIXED,"+unsettling,creepy -rpgmaker",,A small little RPGmaker game about a lonely girl with a connection to another world that she sees in her dreams. WARNING: May contain some loud and prolonged low/high pitch moments and unsettling atmosphere/elements. May also contain some flashing lights moments!! Tem here!!! It's my first time making an RPGmaker game!! Its my first time trying to put together my own project outside of an animated thing (though... I guess this is still sort of.. that..).  I've always wanted to make an RPGMaker g,,
Escort Yourself Out,https://bignastytruck.itch.io/escort-yourself-out,KEEP,"+trauma,abuse",,"Inspired by escort mission games, Escort Yourself Out asks you to help your childhood self navigate triggering environments. While moving through everyday spaces fraught with triggers, you must take action to care for yourself in order to navigate the situation. It is an autobiographical representation of some of my experiences being mentally ill. This game discusses some of my experiences being mentally ill and dealing with trauma. Everybody experiences mental illness and deals with trauma diff",,
Eselmir and the five magical gifts,https://stelexsoftware.itch.io/eselmir,KEEP,"+death,mystery,point and click,adventure game,creature",,"Eselmir and the five magical gifts is a 2D point and click adventure game inspired by the old classics of the genre. It tells the story of Eselmir and his journey to find the five magical lost gifts of King Theoson, leading the player to explore an imaginary world studied in every detail. An atypical and elegant fantasy made up of stories within the story, one enclosed in the other. Story In a vast fantasy world ruled by powerful deities and ancient spells, where people build flourishing cities,",,
Evangeline,https://raconteur-games.itch.io/evangeline,MIXED,+loss -casual,,"Evangeline ™ is a short narrative game where color guides you through the world. Set in the 1980s, you are thrown into a strangely familiar monochrome neighborhood and must piece together the story as you play. Inspired by the loss of a loved one, Evangeline ™ is about life, love, and loss, and will invite you to connect with those you care about. What People Are Saying: ""... a truly exceptional experience."" â Game Lens ""Simple and lovely."" â Cliff Bleszinski, Boss Key Productions CEO â...",,
Even in Arcadia,https://girldebord.itch.io/arcadia,?,,,"In a distant future in which capitalism and consumerism have continued to run rampant, corporations have replaced all government, and planet Earth has long been relegated to legend, society constantly moves to new planets and throws away the old ones like last year's model of smartphone. You are a guest at the launch party for the most recently developed  planet: Arcadia. Over the course of the evening you will wander the  Arcadia Botanical Gardens' various rooms and eavesdrop on the other guest",,
Eves Drop,https://8points.itch.io/eves-drop,?,,,"A downloadable game for Windows and Android Buy Now $1.00 USD or more **PHOTOSENSITIVITY WARNING** Eves Drop is a fast-paced, physics-based action game about free-falling through  cyberspace inspired by the extreme hackers of the 1990s. Ricochet enemies for in-your-face destruction Fluid, acrobatic gameplay about falling...with style! Gritty, sci-fi, pixel art by Kyle Templeton ( @supajackle ) Original, old-school, techno soundtrack by Rupert Cole ( @RupertCole ) Bite-sized 5 minute runs Real mo",,
Explobers Classic,https://jdmgames.itch.io/explobers,?,,,"Deep in the recesses of the digital world, the Explobers find themselves in perilous predicaments. Guide the Explobers to safety by blowing them up, building pathways, and navigating through dozens of fun, tricky puzzles and challenging platforming stages. Help them work together to achieve the seemingly impossible! 80 challenging stages! Unique multi-character single-player experience! Expert goals for advanced players! Unlock secret graphic modes and 20 bonus stages! Explobers pushes your plan",,
Explorers (Deluxe Edition 🗿),https://trasevol-dog.itch.io/explorers,?,,,"Explore an archipelago, encounter fellow explorers, and seduce and haggle with them to help you complete your map! There is no time constraint, no danger, there's no gameover. Instead, this game proposes a calming experience of exploration and encounters. You can just stop playing when you feel satisfied. A play session will usually last 15 to 30 minutes. You can play the Complete edition for free over on Pico-8 or on the Pico-8 BBS . (web-based, plays on all platforms, including mobile) The Del",,
Extreme Mining,https://tallbeard.itch.io/extreme-mining,?,,,"Become rich by collecting valuable ores and gemstones through mining! Take up your gun and long range pickaxe to break rocks to gather wealth. Spend money at the shop to upgrade your abilities and extend the game's timer. Defeat enemies to fill up the boss bar. Spawning bosses increases the game's difficulty and rewards for more advanced store options. WASD to move, Left click to shoot, Right click to throw a powerful pickaxe. CONTROLLER SUPPORTED! Left stick to move, right stick to aim/fire. Ri",,
Eye of Ra,https://bearcabin.itch.io/eye-of-ra,?,,,"ATMOSPHERIC SPACE SIMULATION Played entirely within fictional operating system sMaat 9 Simulation of 250+ solar bodies (with light fictionalizations; see accompanying info.txt for data sources) Exploratory narrative told through email, news headlines, and REGISTRY database entries Immersion note: For the most immersive experience, full-screen display is recommended. CONTEXT The year is 2221 and you are the lone technician aboard the Eye of Ra, an anti-asteroid space station orbiting Earth. It ha",,
FLAMBERGE,https://hydezeke.itch.io/flamberge,REMOVE,-cute,,"Command a party of heroes in simultaneous turn-based combat! Draft your moves freely, and watch the action unfold. Simultaneous Tactics FLAMBERGE is a tactics RPG featuring free movement and simultaneous turns. In the game, players adventure across the mysterious kingdom of Abbol, engaging in various combat missions. In each mission, players must draft orders for each of their party members, and all action is executed simultaneously. Development/Early Access The game is developed by msb (program",,
FLAT FORM FIGHTER,https://j-a-i-l.itch.io/fff,?,,,////////////////////////////////////////////////////////////////////////////////////////////// /////////////////////////////////|/////////////////////////////////////////////////////////// ////////////////////////////////////////////////////////////////////////////////////////////// ////////////////////////////////////////////////////////////////////////////////////////////// up to 4 players beat down your friends make them feel intense dread hopefully ðµð¿ HIGH QUALITY RIPS HERE (bandcamp) ,,
FORGET-ME-NOT,https://sleepily.itch.io/forgetmenot,KEEP,+anxiety,,"Negative emotions only hold us back...that's what most people think. But that changes once they combine! In this game, the 3 major negative emotions Rage, Depression and Anxiety are on a journey through a fierce and unforgiving labyrinth of puzzles. While they would be hopelessly lost alone as they would run wild, together, they can strengthen each other and find a way to the end. So, please, forget me not… Navigate the 3 characters through increasingly difficult and complex levels and get all o",,
FRALE TIDES Bridgeway,https://cedesdcc.itch.io/frale-bridgeway,?,,,"<1000 words, very short kinetic novel! Join a short carriage ride of a nameless passenger travelling to a city. She's had a hard life, and is unsure what they future will hold, or even this carriage ride... I'll be updated it with voice within the day hopefully! Made for the game jam https://itch.io/jam/o2a2-again cc music by -- https://soundcloud.com/scottbuckley/undertow-cc-by",,
FRIDAY NIGHT BULLET ARENA,https://may-gardens.itch.io/friday-night-bullet-arena,?,,,"A Game by May Gardens and Dylan Gedig , as Red Nexus Games Bullet-bouncin', screen-wrappin', local-multiplayer action! Local Multi-player (2-4 players) Play with keyboard or game pads! you will need at least 2 game pads for 4-player play Something like 259 different stages 10 worlds to explore with different environments and mechanics 10 characters to BOOP! and also BOP! with Available on Windows and Linux (Ubuntu) Sept. 30th! One Bullet: That's right one bullet. Only one dang bullet. If you sho",,
FROG,https://pizzamakesgames.itch.io/frog-n-friends,KEEP,+adventure game,,A little adventure game about a frog and his friends. Controls: Up: Ollie Down: Nollie Left / Right: Move Space: Action,,
FUCK AI,https://pikario.itch.io/fuck-ai,?,,,"You don't like generative AI? GOOD THIS GAME IS FOR YOU You were making pancakes with your partner listening to the radio, the speaker announces that ClosedAI will boot its new Artificial General Intelligence. Suddenly the power cuts. That's enough, you have to do something. Shoot  all the AI in your way and try to unplug the AGI. Duration : 15min for a run (more if you want all the achievements) Buying this game gives you access to the classic PC version but also to the PS Vita one ð -- Devl",,
Factory Hiro,https://radzone.itch.io/factory-hiro,?,,,"Factory Hiro has you playing as Hiro Kikuchi (Age 42) as he oversees an assembly line.  Each day is a new puzzle that will test your reflexes, patience and quick thinking right as it all goes horribly wrong...",,
